source_table,dvfsl,data_rate_lower_mbps,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,nacu_nck,tacu_ns,status
Table415,disabled,80,1067,20,267,6,22.0,seeded
Table415,disabled,1067,1600,267,400,9,22.0,seeded
Table415,disabled,1600,2133,400,533,12,22.0,seeded
Table415,disabled,2133,2750,533,688,16,22.0,seeded
Table415,disabled,2750,3200,688,800,18,22.0,seeded
Table415,disabled,3200,3750,800,938,21,22.0,seeded
Table415,disabled,3750,4267,938,1067,24,22.0,seeded
Table415,disabled,4267,4800,1067,1200,27,22.0,seeded
Table415,disabled,4800,5500,1200,1375,31,22.0,seeded
Table415,disabled,5500,6400,1375,1600,36,22.0,seeded
Table415,disabled,6400,7500,1600,1875,42,22.0,seeded
Table415,disabled,7500,8533,1875,2133,47,22.0,seeded
Table415,disabled,8533,9600,2133,2400,53,22.0,seeded
Table415,disabled,9600,10667,2400,2667,59,22.0,seeded
Table415,disabled,10667,11733,2667,2933,TBD,22.0,tbd
Table415,disabled,11733,12800,2933,3200,TBD,22.0,tbd
Table415,disabled,12800,14400,3200,3600,TBD,22.0,tbd
Table420,enabled,80,1067,20,267,7,25.3,seeded
Table420,enabled,1067,1600,267,400,11,25.3,seeded
Table420,enabled,1600,2133,400,533,14,25.3,seeded
Table420,enabled,2133,2750,533,688,18,25.3,seeded
Table420,enabled,2750,3200,688,800,21,25.3,seeded
Table420,enabled,3200,3750,800,938,24,25.3,seeded
Table420,enabled,3750,4267,938,1067,27,25.3,seeded
Table420,enabled,4267,4800,1067,1200,31,25.3,seeded
Table420,enabled,4800,5500,1200,1375,35,25.3,seeded
Table420,enabled,5500,6400,1375,1600,41,25.3,seeded
Table420,enabled,6400,7500,1600,1875,48,25.3,seeded
Table420,enabled,7500,8533,1875,2133,54,25.3,seeded
Table420,enabled,8533,9600,2133,2400,61,25.3,seeded
Table420,enabled,9600,10667,2400,2667,68,25.3,seeded
Table420,enabled,10667,11733,2667,2933,TBD,25.3,tbd
Table420,enabled,11733,12800,2933,3200,TBD,25.3,tbd
Table420,enabled,12800,14400,3200,3600,TBD,25.3,tbd
