symbol,label,final_unit,formula_or_lookup,basic_leaf_keys,shared_intermediate_keys,condition_selectors,rounding_or_conversion,source,status,notes_ko
tRTRRD,tRTRRD,nCK,"RL + BLN_MAX + MAX(RU(7.5ns/tCK), 6nCK)","speed_bin|read_dbi_enabled|efficiency_mode_enabled|dvfsl_enabled|write_link_protection_enabled|read_link_protection_enabled|bank_relation|burst_length","RL|BLN_MAX|data_rate_mbps|ck_mhz|tCK_ns|same_bg","previous command is read/training class; Table398 Note3 path","RU for 7.5ns/tCK; even command-gap rounding",Table398_Note3,active,"Read/MRR/RFF/RDC 계열 이후 WFF/RD/RDC 등으로 새 sync path를 잡을 때 쓰는 guard. data_rate는 speed_bin에서 한 번만 생성되어 RL/BLN/tCK에 공유된다."
RL,Read Latency,nCK,"MR1 latency table lookup","speed_bin|read_dbi_enabled|efficiency_mode_enabled|dvfsl_enabled|write_link_protection_enabled|read_link_protection_enabled","data_rate_mbps|latency_table_id","MR1 speed code plus feature selector chooses Table49-72 row","table value; no unit conversion",Table49_72,active,"Raw MR bit가 아니라 Read DBI/DVFSL/Link Protection 같은 semantic leaf가 latency table selector로 들어간다."
tWCKPST,WCK Postamble,nCK,"RD((MR22 WCK PST coefficient * tWCK) / tCK)","speed_bin|wck_postamble_length","data_rate_mbps|wck_mhz|tWCK_ns|ck_mhz|tCK_ns","MR22.OP[7:6] selects 2.5/4.5/6.5 tWCK; 11 reserved","RD to nCK",Table117,active,"WCK Sync-Off deadline의 read/write deadline에 공통으로 쓰인다."
WL,Write Latency,nCK,"MR1 latency table lookup + WL Set A/B selection","speed_bin|wl_set_b|read_dbi_enabled|efficiency_mode_enabled|dvfsl_enabled|write_link_protection_enabled|read_link_protection_enabled","data_rate_mbps|latency_table_id","MR1 speed code plus feature selector chooses Table49-72 row; MR1.OP[5] selects WL Set","table value; no unit conversion",Table49_72,active,"Write command 기준 data input latency. ODTLon formula도 WL-k 형태라 WL을 공유한다."
tRTW,tRTW,nCK,"ODT off: RL + BLN + RU(tWCK2DQO/tCK) - WL; ODT on: RL + BLN + RU(tWCK2DQO/tCK) + RD(tRPST/tCK) - ODTLon - RD(tODTon_MIN/tCK) + 1; final EVEN(base + note adders)","speed_bin|bank_relation|burst_length|read_dbi_enabled|efficiency_mode_enabled|dvfsl_enabled|write_link_protection_enabled|read_link_protection_enabled|wl_set_b|wck_frequency_mode|dq_odt_enabled|rdqs_enabled|rdqs_ratio|rdqs_postamble_mode|rdqs_postamble_length|dfeq_enabled|per_pin_dfe_enabled","RL|WL|BLN_MIN|BLN_MAX|same_bg|tWCK2DQO_EFFECTIVE_MAX_ps|tCK_ns|tRPST_nCK|ODTLon|tODTon_MIN_nCK_RD|tRTW_BASE","same_bg selects BLN_MAX vs BLN_MIN; DQ ODT effective selects ODT-on formula; DFEQ and Per-pin DFE notes add cycles","RU for tWCK2DQO/tCK; RD for tRPST/tCK and tODTon_MIN/tCK; final EVEN",Table389_Table390,active,"WCK2CK Sync-Off RD->WR pair에서 command_min_gap로 쓰인다. 내부의 RL/tCK/data_rate는 별도 복사본이 아니라 공통 symbol reference다."
tWTR_S,tWTR_S,nCK,"MAX(RU(tWTR_S_ns_floor/tCK), tWTR_S_nCK_floor)","speed_bin|dvfsl_enabled|write_link_protection_enabled|efficiency_mode_enabled","data_rate_mbps|ck_mhz|tCK_ns","DVFSL, Write Link Protection, Efficiency mode select Table414/416/417/418/419/421/422/423 row","RU ns floor to nCK then max with nCK floor",Table414_423,active,"WR->RD different BG command gap의 component."
tWTR_L,tWTR_L,nCK,"MAX(RU(tWTR_L_ns_floor/tCK), tWTR_L_nCK_floor)","speed_bin|dvfsl_enabled|write_link_protection_enabled|efficiency_mode_enabled","data_rate_mbps|ck_mhz|tCK_ns","DVFSL, Write Link Protection, Efficiency mode select Table414/416/417/418/419/421/422/423 row","RU ns floor to nCK then max with nCK floor",Table414_423,active,"WR->RD same BG command gap의 component."
tWCK2DQO,tWCK2DQO max,ps,"Table477 lookup of tWCK2DQO_* max value","speed_bin|wck_frequency_mode|dvfsl_enabled","data_rate_mbps|wck_mhz|tWCK_ns|ck_mhz|tCK_ns","WCK FM chooses HF/LF family; DVFSL selects LF_L path; data_rate selects row","ps value; converted by callers as RU((ps/1000)/tCK)",Table477_Table478,active,"tRTW에서 RU(tWCK2DQO/tCK)로 들어간다. temp/voltage variation coefficients are captured but not yet applied without corner inputs."
ODTLon,ODTLon,nCK,"ODT table lookup, DQ ODT path uses WL-k by speed row","dq_odt_enabled|speed_bin|wl_set_b|read_dbi_enabled|efficiency_mode_enabled|dvfsl_enabled|write_link_protection_enabled|read_link_protection_enabled","WL|data_rate_mbps|ck_mhz","DQ ODT effective true selects Table319 path; speed row selects WL-k","formula result in nCK",Table319_Table329,active,"tRTW ODT-on formula에서 subtract되는 synchronous ODT on latency."
tODTon_MIN,tODTon min,nCK,"RD(tODTon_MIN_ns/tCK)","dq_odt_enabled|speed_bin","data_rate_mbps|ck_mhz|tCK_ns|tODTon_MIN_ns","DQ ODT effective true selects async ODT row","RD to nCK for current evaluator path",Table320_Table330,active,"tRTW ODT-on formula에서 RD(tODTon_MIN/tCK)로 subtract된다."
tODTon_MAX,tODTon max,ns_or_nCK,"tODTon_MAX_ns table lookup; optional RU(tODTon_MAX_ns/tCK) when nCK guard is needed","dq_odt_enabled|speed_bin","data_rate_mbps|ck_mhz|tCK_ns|tODTon_MAX_ns","DQ ODT effective true selects async ODT row","ns direct; RU to nCK for max guard",Table320_Table330,active,"DQ ODT turn-on이 fully on 되는 max bound. target calculator exposes ns and RU-converted nCK."
tODT_RDon_MAX,tODT_RDon max,ns_or_nCK,"Read NT-ODT async_on_max_ns lookup; optional RU(async_on_max_ns/tCK)","dq_nt_odt_enabled|read_nt_odt_target|rdqs_enabled|rdqs_preshift_enabled|rdqs_preamble_group|speed_bin","data_rate_mbps|ck_mhz|tCK_ns","DQ path uses Table331; RDQS path uses Table332-335 selectors","ns direct; RU to nCK for max guard",Table331_336,active,"Read command 기준 NT-ODT turn-on max. DQ/RDQS target과 RDQS selector가 leaf로 관리된다."
